first_publish_year,keyword,book_mentions,keyword_count,weighted_keyword_count
2012,curse,22,28,170.4576061360813
2012,demon,15,23,139.05292426460272
2012,district,2,2,14.324673858407804
2012,dragon,18,25,155.30434857105217
2012,dystopia,1,1,5.251477764773353
2012,fae,4,10,58.874213082133004
2012,ghost,27,36,227.67857087519957
2012,kingdom,32,39,250.46773192558925
2012,love,188,305,1919.7575291889195
2012,magic,65,105,667.6682829984641
2012,mate,6,7,40.62715278509574
2012,prophecy,15,18,118.76641279228885
2012,realm,37,46,283.4412620707693
2012,rebellion,13,16,102.99575517540458
2012,robot,2,2,12.497964117492097
2012,school,105,151,920.3098459162142
2012,space,15,15,98.71374241341682
2012,vampire,40,89,545.0205854945998
2012,werewolf,14,26,162.47735417053605
2012,wizard,8,10,66.5131215404248
2013,academy,18,22,144.038634774919
2013,alien,9,15,95.08609144448927
2013,angel,22,33,202.83397082816606
2013,apocalypse,6,7,44.95969218741194
2013,court,6,7,41.12800831088869
2013,curse,22,32,198.96755919759522
2013,demon,14,17,105.97336066444903
2013,dragon,10,17,107.42420720160558
2013,dystopia,3,3,17.190576697684442
2013,fae,3,4,27.948385705306283
2013,ghost,9,13,80.91978415053632
2013,kingdom,23,40,255.23801263040565
2013,love,138,201,1257.8498949046068
2013,magic,48,64,405.9053783354666
2013,mate,5,9,59.56151755836456
2013,prophecy,16,22,143.62215536615008
2013,realm,12,17,106.22096201124444
2013,rebellion,10,13,83.93414217380247
2013,robot,3,3,16.983322837341156
2013,school,76,99,618.1182793046185
2013,space,12,16,91.3005446747011
2013,vampire,34,57,353.5628717364204
2013,werewolf,11,23,137.50326507661578
2013,wizard,7,11,68.79251747019231
2014,academy,10,13,81.6975644948565
2014,alien,9,11,71.01787525230718
2014,angel,15,24,151.76773588073726
2014,apocalypse,5,5,30.17192650950666
2014,court,7,11,67.52165479132772
2014,curse,11,18,116.09920656965463
2014,demon,10,13,90.55876686223414
2014,district,2,2,11.501844324223697
2014,dragon,13,24,149.52126641492657
2014,dystopia,1,1,4.959058417668139
2014,fae,1,2,13.92191103572533
2014,ghost,9,11,73.99539619544967
2014,kingdom,28,36,240.5280216325513
2014,love,104,138,881.6154225621619
2014,magic,60,108,690.8887677470116
2014,mate,4,4,25.90868050597927
2014,prophecy,7,10,68.8136824314
2014,realm,13,14,87.05933654669447
2014,rebellion,16,20,127.84470546448058
2014,robot,1,2,12.883045635462302
2014,school,54,72,459.5090114088697
2014,space,12,15,86.05653177615548
2014,vampire,12,15,95.65544701051974
2014,werewolf,2,2,13.182189133154363
2014,wizard,6,8,48.117443568189216
2015,academy,19,34,233.3487245144751
2015,alien,6,8,52.89445453427975
2015,angel,8,10,65.32296305843838
2015,apocalypse,3,4,23.51418164644403
2015,court,7,9,63.690728834080424
2015,curse,11,12,77.06169546038262
2015,demon,4,5,35.010955588664224
2015,district,1,1,6.40445071687521
2015,dragon,14,28,187.76840680701446
2015,fae,3,6,38.97722937190352
2015,ghost,11,16,99.33231328093878
2015,kingdom,31,47,309.8748952451795
2015,love,74,106,691.6787411087743
2015,magic,49,82,535.3581379702364
2015,mate,1,1,5.6991257616262665
2015,prophecy,6,9,63.42163245487415
2015,realm,9,12,76.04881380398055
2015,rebellion,5,5,31.81603557375154
2015,robot,1,1,5.978587438291166
2015,school,48,63,403.4269421765629
2015,space,5,5,33.585892242157875
2015,vampire,10,11,74.33082151766028
2015,werewolf,3,3,19.22793565072925
2015,wizard,7,9,60.729707660524056
2016,academy,8,14,89.0181348276472
2016,alien,4,5,30.179921692223406
2016,angel,2,2,11.23982204010803
2016,apocalypse,2,2,11.70910284629656
2016,court,8,17,119.15820011728182
2016,curse,6,9,59.861371865554865
2016,demon,4,8,45.896300491068374
2016,district,1,1,6.745145584288334
2016,dragon,7,9,60.60855912562831
2016,fae,2,3,20.69887925190276
2016,ghost,5,5,30.847877426865885
2016,kingdom,26,40,255.76476872769354
2016,love,55,75,484.6520773844297
2016,magic,43,75,491.4571664888847
2016,prophecy,6,7,47.35565981469758
2016,realm,12,18,110.15853922025909
2016,rebellion,11,13,84.93424313067905
2016,robot,1,3,21.02087728535103
2016,school,36,47,289.25692471224215
2016,space,5,6,40.47014295527711
2016,vampire,3,4,28.043768339431736
2016,werewolf,1,2,13.144423269231595
2016,wizard,3,4,23.904397159792403
2017,academy,4,4,25.626310610100646
2017,alien,7,9,56.77118315488965
2017,angel,4,4,23.398755938159155
2017,apocalypse,1,1,5.5233933705937925
2017,court,5,7,53.42654496074751
2017,curse,6,7,45.69253630587451
2017,demon,5,6,36.05134604427785
2017,district,3,3,18.15680076832892
2017,dragon,4,7,47.80052350769056
2017,dystopia,1,1,5.5233933705937925
2017,ghost,3,3,19.06501444159315
2017,kingdom,19,25,156.91300636897705
2017,love,41,56,359.39229256628954
2017,magic,32,53,345.63644495027415
2017,mate,1,1,8.049325146994851
2017,prophecy,3,4,27.766074079345827
