word,weighted_share_after,book_mentions,weighted_share_before,era_transition,share_change
made,0.0007280102529918668,148.0,0.0005645684928680777,1997-2008 to 2009-2013,0.00016344176012378906
ethan,0.00024524361236463667,25.0,8.181361759804205e-05,1997-2008 to 2009-2013,0.0001634299947665946
crazy,0.00026614580648822816,53.0,0.00010286499066744399,1997-2008 to 2009-2013,0.00016328081582078416
heaven,0.0002649190213533694,40.0,0.00010344217848493267,1997-2008 to 2009-2013,0.00016147684286843672
else,0.0005108238495879175,109.0,0.00034941442979195716,1997-2008 to 2009-2013,0.0001614094197959603
dad,0.00032293737080756556,61.0,0.00016447278511756895,1997-2008 to 2009-2013,0.00015846458568999662
jake,0.00020169357107711728,21.0,4.360186372758585e-05,1997-2008 to 2009-2013,0.00015809170734953145
dan,0.00036121905498467526,33.0,0.00020335153839007024,1997-2008 to 2009-2013,0.00015786751659460502
believe,0.0005612789015947654,112.0,0.0004037212924226007,1997-2008 to 2009-2013,0.00015755760917216476
getting,0.0005339174038430213,110.0,0.00037637852955890955,1997-2008 to 2009-2013,0.00015753887428411172
violet,0.00027227750886104095,22.0,0.00011517509442703778,1997-2008 to 2009-2013,0.00015710241443400318
action,0.0004171490417909726,87.0,0.00026098827555315953,1997-2008 to 2009-2013,0.00015616076623781308
balance,0.00025004386867843645,53.0,9.543419812141647e-05,1997-2008 to 2009-2013,0.00015460967055701998
drawn,0.000468046980574769,99.0,0.00031396499836122287,1997-2008 to 2009-2013,0.00015408198221354615
sure,0.0006628436135575192,138.0,0.0005091324128208741,1997-2008 to 2009-2013,0.00015371120073664514
matter,0.00039606624008000106,80.0,0.00024270332377446715,1997-2008 to 2009-2013,0.0001533629163055339
carter,0.0001677768196717464,15.0,1.4535462039476727e-05,1997-2008 to 2009-2013,0.00015324135763226967
blood,0.0010993288042732991,174.0,0.0009466196180459635,1997-2008 to 2009-2013,0.00015270918622733564
thinks,0.0004637053306533318,96.0,0.00031193236274522964,1997-2008 to 2009-2013,0.00015177296790810213
having,0.0004969363405536454,108.0,0.0003453447868149105,1997-2008 to 2009-2013,0.0001515915537387349
school,0.0024762786753946137,413.0,0.0023248584163457734,1997-2008 to 2009-2013,0.0001514202590488403
expected,0.0002516286292275687,54.0,0.00010142471745513241,1997-2008 to 2009-2013,0.0001502039117724363
ready,0.00039601106056157354,85.0,0.0002458315871780151,1997-2008 to 2009-2013,0.00015017947338355844
died,0.0004001180642873628,77.0,0.0002502288475149394,1997-2008 to 2009-2013,0.00014988921677242342
london,0.0005718372591817857,88.0,0.0004221954706860686,1997-2008 to 2009-2013,0.00014964178849571707
skyla,0.00014805747587634494,6.0,0.0,1997-2008 to 2009-2013,0.00014805747587634494
dystopian,0.00015687137027288695,29.0,9.079179842864287e-06,1997-2008 to 2009-2013,0.00014779219043002266
possible,0.00031944589141290054,67.0,0.00017229228684350343,1997-2008 to 2009-2013,0.00014715360456939711
survived,0.0002449921122184336,48.0,9.823998800355499e-05,1997-2008 to 2009-2013,0.00014675212421487858
memories,0.0004119378371678433,71.0,0.0002657096643387342,1997-2008 to 2009-2013,0.00014622817282910913
finding,0.0004065375767096425,86.0,0.0002604090177178907,1997-2008 to 2009-2013,0.0001461285589917518
doing,0.00028795580148944594,60.0,0.000142019163557282,1997-2008 to 2009-2013,0.00014593663793216393
hunger,0.000278690183296824,32.0,0.0001330966237236864,1997-2008 to 2009-2013,0.00014559355957313762
comes,0.0012308031141529056,255.0,0.0010852798859776601,1997-2008 to 2009-2013,0.00014552322817524546
souls,0.000361433588286536,66.0,0.00021613820340425177,1997-2008 to 2009-2013,0.00014529538488228423
different,0.0007535838058587376,150.0,0.0006088773117449376,1997-2008 to 2009-2013,0.0001447064941138001
kiss,0.00028788420213759624,46.0,0.00014335889576740728,1997-2008 to 2009-2013,0.00014452530637018896
