word,weighted_share_after,book_mentions,weighted_share_before,era_transition,share_change
going,0.0009868012839823147,200.0,0.0007678703872068305,1997-2008 to 2009-2013,0.00021893089677548416
college,0.0003675202222968791,71.0,0.0001488857457125532,1997-2008 to 2009-2013,0.00021863447658432593
sam,0.0003408665601829633,35.0,0.0001255760589478495,1997-2008 to 2009-2013,0.00021529050123511378
things,0.0015902937469804783,302.0,0.0013752092698005366,1997-2008 to 2009-2013,0.00021508447717994176
months,0.0003848392008253085,74.0,0.00017070725079510642,1997-2008 to 2009-2013,0.0002141319500302021
handsome,0.0004504080721372243,101.0,0.0002363578852893126,1997-2008 to 2009-2013,0.00021405018684791173
realizes,0.0005890155408057083,125.0,0.00037576220800837753,1997-2008 to 2009-2013,0.00021325333279733076
sophie,0.0003257400893298007,29.0,0.00011578340481351483,1997-2008 to 2009-2013,0.00020995668451628585
mean,0.00043609268185869154,88.0,0.0002266647939716108,1997-2008 to 2009-2013,0.00020942788788708074
there's,0.0006648065669225563,128.0,0.0004561068121993728,1997-2008 to 2009-2013,0.0002086997547231835
parents,0.00113682031622878,217.0,0.0009290508088481679,1997-2008 to 2009-2013,0.00020776950738061203
closer,0.0004512478245495033,87.0,0.00024384583865243035,1997-2008 to 2009-2013,0.00020740198589707298
decide,0.0004337625411480457,92.0,0.00022875967921318335,1997-2008 to 2009-2013,0.00020500286193486238
part,0.0008741194550033125,158.0,0.0006704374976709757,1997-2008 to 2009-2013,0.00020368195733233682
person,0.000602378106459598,120.0,0.0003989161057767238,1997-2008 to 2009-2013,0.00020346200068287418
body,0.0005860506407296869,104.0,0.0003829929681518313,1997-2008 to 2009-2013,0.00020305767257785564
shadowhunters,0.0002357342083645922,17.0,3.276639200452267e-05,1997-2008 to 2009-2013,0.00020296781636006955
eden,0.0002469039243153886,21.0,4.431646456058439e-05,1997-2008 to 2009-2013,0.0002025874597548042
happened,0.00046962272662993927,95.0,0.00026711175469900695,1997-2008 to 2009-2013,0.0002025109719309323
sie,0.00038291155868431316,29.0,0.00018054685840114467,1997-2008 to 2009-2013,0.0002023647002831685
rules,0.0005229118118967118,94.0,0.00032176371939289793,1997-2008 to 2009-2013,0.00020114809250381386
guy,0.0004922133062749129,96.0,0.00029135976627155184,1997-2008 to 2009-2013,0.00020085354000336106
intense,0.00023999309602691478,51.0,4.079435694787023e-05,1997-2008 to 2009-2013,0.00019919873907904453
wanted,0.0003915613948642393,76.0,0.0001924974737653088,1997-2008 to 2009-2013,0.0001990639210989305
guardian,0.0003929641095657294,63.0,0.00019603283307467224,1997-2008 to 2009-2013,0.00019693127649105717
shadows,0.0004613492469706804,88.0,0.00026629324114253413,1997-2008 to 2009-2013,0.00019505600582814627
grace,0.0003672628384661649,42.0,0.00017283248040828934,1997-2008 to 2009-2013,0.00019443035805787558
humans,0.0006215948141570232,114.0,0.00043073298229459605,1997-2008 to 2009-2013,0.00019086183186242716
move,0.0005217220926385037,108.0,0.0003311658354924593,1997-2008 to 2009-2013,0.0001905562571460444
coming,0.0005674500315579705,122.0,0.00037698537620834956,1997-2008 to 2009-2013,0.00019046465534962092
safe,0.0006481251265357757,133.0,0.00045789642972783454,1997-2008 to 2009-2013,0.00019022869680794118
determined,0.0008876500371535694,183.0,0.0006980296453532697,1997-2008 to 2009-2013,0.00018962039180029971
broken,0.00040281149444777254,81.0,0.00021329230143623184,1997-2008 to 2009-2013,0.0001895191930115407
finally,0.0009916660796401493,191.0,0.0008024409576508616,1997-2008 to 2009-2013,0.0001892251219892877
decision,0.0002864633308868355,60.0,9.877541079887695e-05,1997-2008 to 2009-2013,0.00018768792008795853
claire,0.0003493003292071274,32.0,0.00016167913122354,1997-2008 to 2009-2013,0.0001876211979835874
losing,0.00033206882479010685,67.0,0.0001452475470739226,1997-2008 to 2009-2013,0.00018682127771618424
haven,0.00028362067575893134,39.0,9.685551766979103e-05,1997-2008 to 2009-2013,0.0001867651580891403
answers,0.00042739796608298015,89.0,0.00024127647911017857,1997-2008 to 2009-2013,0.00018612148697280158
romantic,0.0002925580575753185,63.0,0.00010735455469126313,1997-2008 to 2009-2013,0.00018520350288405536
morganville,0.00025444878845743124,17.0,6.994110913913993e-05,1997-2008 to 2009-2013,0.0001845076793182913
really,0.0008681371949702938,176.0,0.0006840874347028209,1997-2008 to 2009-2013,0.00018404976026747282
teens,0.0003788152658428001,72.0,0.0001968878953407804,1997-2008 to 2009-2013,0.00018192737050201968
step,0.00036770662549106593,78.0,0.00018602709366255998,1997-2008 to 2009-2013,0.00018167953182850595
running,0.0005435234992173768,109.0,0.00036236165223849494,1997-2008 to 2009-2013,0.00018116184697888188
few,0.0006029922289172478,128.0,0.00042198903785525073,1997-2008 to 2009-2013,0.00018100319106199706
complicated,0.0002719699355739182,60.0,9.199932168629213e-05,1997-2008 to 2009-2013,0.00017997061388762606
question,0.00046197988247587536,94.0,0.00028204583517464957,1997-2008 to 2009-2013,0.0001799340473012258
desperate,0.0006807411280759017,142.0,0.000500844498616426,1997-2008 to 2009-2013,0.00017989662945947567
nick,0.00027678229356096036,26.0,9.714573313731795e-05,1997-2008 to 2009-2013,0.00017963656042364242
