data_driven_era,book_share,rating_share,bbe_vote_share,series_flag,title_clean,primary_author
1997-2008,0.08119011598587998,0.8083195759121523,0.9472930616896994,series,Cursor's Fury,Jim Butcher
1997-2008,0.08169440242057488,0.8090304687398038,0.9475138908676449,series,Trickster's Choice,Tamora Pierce
1997-2008,0.08219868885526979,0.8097272518889812,0.9475352614332526,series,Olivia,Ian Falconer
1997-2008,0.0827029752899647,0.8104179514752221,0.947585126086337,series,If You Give a Pig a Pancake,Laura Joffe Numeroff
1997-2008,0.0832072617246596,0.8111057430485872,0.9483758370138197,standalone,Battle Royale,Koushun Takami
1997-2008,0.08371154815935451,0.8117868694564405,0.9485539250605499,series,The Sorcerer of the North,John Flanagan
1997-2008,0.08421583459404942,0.8124608188885161,0.9488174953697108,series,Existence,Abbi Glines
1997-2008,0.08472012102874432,0.8131332328897931,0.9490383245476564,series,Eon: Dragoneye Reborn,Alison Goodman
1997-2008,0.08522440746343923,0.8138016338333014,0.9490454480695256,standalone,The Cat in the Hat and Other Dr. Seuss Favorites,Dr. Seuss
1997-2008,0.08572869389813415,0.8144691158447409,0.9494229947285938,series,Burned,Ellen Hopkins
1997-2008,0.08623298033282904,0.8151362023664293,0.9497791708220544,series,Midnight Alley,Rachel Caine
1997-2008,0.08673726676752395,0.8158029515586239,0.95,series,Incarceron,Catherine Fisher
1997-2008,0.08724155320221887,0.8164650130340627,0.9505200170964525,series,"Night World, No. 2",L.J. Smith
1997-2008,0.08774583963691376,0.8171262370017931,0.9507194757087905,series,Trickster's Queen,Tamora Pierce
1997-2008,0.08825012607160868,0.8177864257169397,0.9509331813648668,series,Fire Study,Maria V. Snyder
1997-2008,0.08875441250630359,0.8184403331242743,0.9509687989742128,series,InuYasha: Turning Back Time,Rumiko Takahashi
1997-2008,0.08925869894099848,0.8190915651597631,0.9512394928052429,standalone,Identical,Ellen Hopkins
1997-2008,0.0897629853756934,0.819738598024659,0.951275110414589,standalone,Feed,M.T. Anderson
1997-2008,0.0902672718103883,0.8203818272087131,0.9516170394643112,series,Skulduggery Pleasant,Derek Landy
1997-2008,0.0907715582450832,0.8210240211401835,0.9517381393360878,series,The Siege of Macindaw,John Flanagan
1997-2008,0.09127584467977812,0.821665272875482,0.9519233509046873,series,First Test,Tamora Pierce
1997-2008,0.09178013111447302,0.8223034072209775,0.9522439093888019,blockbuster_franchise,The Harry Potter Collection 1-4,J.K. Rowling
1997-2008,0.09228441754916793,0.8229365863125324,0.952721185354039,series,The Dead Girls' Dance,Rachel Caine
